Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.82,1.0,0.0,0.18,1.82
3,2.58,2.0,0.0999999999999998,0.42,2.58
100,86.16,66.0,3.300000000000006,13.84,86.16
200,172.47,133.0,6.600000000000012,27.53,172.47
2000,1790.07,1051.11,10.075,209.93,1790.07
10000,8990.67,4978.93,10.075,1009.33,8990.67
20000,17991.58,9930.42,10.075,2008.42,17991.58
40000,35989.39,19730.27,10.075,4010.61,35989.39
60000,53982.94,29530.31,10.075,6017.06,53982.94
80000,71982.58,39330.31,10.075,8017.42,71982.58
200000,179996.13,98150.48,10.075,20003.87,179996.13
400000,359994.47,196150.48,10.075,40005.53,359994.47
600000,540005.91,294150.48,10.075,59994.09,540005.91
800000,719986.87,392150.48,10.075,80013.13,719986.87
1000000,899998.34,490150.48,10.075,100001.66,899998.34
