Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.62,1.0,0.08999999999999991,0.38,1.62
3,2.41,2.0,0.19000000000000006,0.59,2.41
100,84.03,57.71,5.479800000000001,15.97,84.03
200,168.86,110.17,10.465999999999998,31.14,168.86
2000,1720.95,715.38,67.95889999999999,279.05,1720.95
10000,8783.37,1804.4,171.4154,1216.63,8783.37
20000,17675.45,2392.73,227.3076,2324.55,17675.45
40000,35513.69,2994.66,284.49389999999994,4486.31,35513.69
60000,53382.21,3350.18,318.2689000000001,6617.79,53382.21
80000,71252.58,3585.87,340.6599999999999,8747.42,71252.58
100000,89136.89,3774.03,358.5349999999999,10863.11,89136.89
200000,178582.42,4327.62,411.12630000000007,21417.58,178582.42
400000,357521.03,4839.17,459.7231000000002,42478.97,357521.03
600000,536515.95,5134.13,487.74479999999994,63484.05,536515.95
800000,715473.0,5331.83,506.5266000000001,84527.0,715473.0
1000000,894454.08,5472.94,519.9323999999999,105545.92,894454.08
