Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.78,1.0,0.04000000000000003,0.22,1.78
3,2.66,2.0,0.04000000000000003,0.34,2.66
100,88.55,63.71,1.1815999999999998,11.45,88.55
200,176.39,127.32,2.2700000000000014,23.61,176.39
2000,1760.65,1233.49,18.501199999999997,239.35,1760.65
10000,8833.69,5854.49,63.54079999999999,1166.31,8833.69
20000,17698.73,11358.33,100.96920000000001,2301.27,17698.73
40000,35448.64,21914.52,150.82599999999994,4551.36,35448.64
60000,53209.32,32375.13,186.24279999999996,6790.68,53209.32
80000,70984.76,42697.54,212.15799999999987,9015.24,70984.76
100000,88757.72,52527.81,234.2924,11242.28,88757.72
200000,177675.9,102391.09,305.91920000000005,22324.1,177675.9
400000,355587.94,202149.52,378.876,44412.06,355587.94
600000,533527.71,302102.67,423.79439999999994,66472.29,533527.71
800000,711512.05,405300.88,452.29720000000015,88487.95,711512.05
1000000,889485.4,506677.61,477.0135999999999,110514.6,889485.4
