Timestep,Value_at_Risk
2,0.05
3,0.05
100,2.0709999999999997
200,4.035000000000001
2000,21.900000000000013
10000,60.72
20000,93.54400000000001
40000,143.544
60000,172.17
80000,190.45
200000,269.493
400000,337.78800000000007
600000,388.516
800000,412.256
1000000,418.90300000000013
