Timestep,Value_at_Risk
2,0.02
3,0.02
100,0.7001000000000001
200,1.4104
2000,14.7128
10000,67.7717
20000,128.24070000000006
40000,231.2718
60000,315.7984
80000,329.3825000000005
200000,577.9345000000001
400000,644.1454000000003
600000,696.5314000000004
800000,724.7684000000006
1000000,757.2254000000005
