Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.62,2.0,0.19999999999999962,0.38,1.62
3,2.38,3.0,0.3000000000000005,0.62,2.38
100,80.25,93.02,9.302,19.75,80.25
200,161.74,171.92,17.192000000000004,38.26,161.74
2000,1709.83,898.15,89.81499999999998,290.17,1709.83
10000,8842.9,1568.62,156.86200000000002,1157.1,8842.9
20000,17835.89,1645.92,164.592,2164.11,17835.89
40000,35819.93,1778.82,177.88199999999986,4180.07,35819.93
60000,53800.84,1910.89,191.08899999999994,6199.16,53800.84
80000,71787.08,2045.58,204.55799999999996,8212.92,71787.08
200000,179721.35,2850.03,285.003,20278.65,179721.35
400000,359586.87,4178.75,417.87500000000017,40413.13,359586.87
600000,539464.41,5511.43,551.1430000000001,60535.59,539464.41
800000,719311.22,6841.13,684.1129999999998,80688.78,719311.22
1000000,899189.27,8175.05,817.5049999999999,100810.73,899189.27
