Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.7,2.0,0.09999999999999981,0.3,1.7
3,2.59,2.0,0.09999999999999981,0.41,2.59
100,87.79,58.67,1.6693000000000016,12.21,87.79
200,177.5,113.18,2.2238000000000024,22.5,177.5
2000,1788.76,1082.73,8.803799999999994,211.24,1788.76
10000,8962.99,5402.26,38.00350000000004,1037.01,8962.99
20000,17928.19,10702.59,74.00269999999999,2071.81,17928.19
40000,35857.61,21303.67,146.0080999999999,4142.39,35857.61
60000,53783.36,31905.45,218.01699999999994,6216.64,53783.36
80000,71713.49,42510.13,290.0403999999999,8286.51,71713.49
100000,89640.53,53110.13,362.04040000000015,10359.47,89640.53
200000,179270.07,106110.2,722.0426000000003,20729.93,179270.07
400000,358562.65,212110.2,1442.0450999999991,41437.35,358562.65
600000,537858.18,318110.2,2162.0450999999975,62141.82,537858.18
800000,717144.21,424110.2,2882.045099999999,82855.79,717144.21
1000000,896398.95,530110.2,3602.0451000000007,103601.05,896398.95
