Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.8,0.0,0.0,0.2,1.8
3,2.7,0.01,0.0,0.3,2.7
100,89.22,6.32,0.0143,10.78,89.22
200,178.27,17.32,0.0405,21.73,178.27
2000,1789.45,372.65,0.7501000000000004,210.55,1789.45
10000,8946.89,2209.73,3.856900000000002,1053.11,8946.89
20000,17892.04,4860.89,7.675499999999999,2107.96,17892.04
40000,35782.14,11009.31,15.327000000000004,4217.86,35782.14
60000,53668.61,17256.23,23.1627,6331.39,53668.61
80000,71560.72,23211.8,29.66359999999999,8439.28,71560.72
200000,178952.79,62165.32,54.69499999999999,21047.21,178952.79
400000,357933.72,124385.3,70.70149999999998,42066.28,357933.72
600000,536938.32,185830.69,72.619,63061.68,536938.32
800000,715911.54,247394.9,74.53470000000002,84088.46,715911.54
1000000,894913.74,308975.34,76.4558,105086.26,894913.74
