Timestep,Value_at_Risk
2,0.18
3,0.18
100,6.660900000000001
200,12.161700000000007
2000,70.09740000000004
10000,112.55489999999986
20000,132.7887
40000,146.26170000000002
60000,152.55180000000001
80000,152.90010000000004
200000,162.84150000000002
400000,166.05900000000005
600000,173.41020000000003
800000,174.47940000000003
1000000,175.56480000000002
