Timestep,Value_at_Risk
2,0.1
3,0.1
100,3.4
200,6.6
2000,37.425
10000,71.21000000000001
20000,83.815
40000,97.86
60000,104.13499999999999
80000,108.82499999999999
100000,112.025
200000,122.32
400000,131.915
600000,134.425
800000,137.53
1000000,140.915
