Timestep,Value_at_Risk
2,0.04
3,0.08
100,2.04
200,4.12
2000,35.489999999999995
10000,98.83999999999999
20000,123.852
40000,145.20399999999998
60000,165.006
80000,168.912
100000,175.082
200000,190.94
400000,200.482
600000,202.138
800000,208.11199999999997
1000000,224.36999999999995
