Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.6965384615384616,1.2307692307692308,0.10423076923077088,0.30346153846153845,1.6965384615384616
3,2.5415384615384617,2.0,0.15769230769232065,0.4584615384615385,2.5415384615384617
100,84.7476923076923,66.53846153846153,5.266153846153612,15.252307692307692,84.7476923076923
200,169.40615384615384,133.23076923076923,10.53692307692334,30.593846153846155,169.40615384615384
2000,1781.0561538461538,518.0953846153847,19.135634615384628,218.94384615384615,1781.0561538461538
10000,8970.471153846154,1899.908076923077,29.28274615384612,1029.5288461538462,8970.471153846154
20000,17959.391923076924,3611.8996153846156,41.30424230769227,2040.6080769230769,17959.391923076924
40000,35935.21576923077,7036.011923076923,65.07456538461535,4064.784230769231,35935.21576923077
60000,53911.663846153846,10466.270384615385,88.84415,6088.336153846154,53911.663846153846
80000,71888.48038461538,13897.049615384616,112.61384230769232,8111.5196153846155,71888.48038461538
100000,89864.49461538461,17327.821923076925,136.38383846153855,10135.505384615384,89864.49461538461
200000,179743.9676923077,34464.74192307692,255.22999230769244,20256.03230769231,179743.9676923077
400000,359510.2373076923,68713.11153846154,492.92269230769205,40489.76269230769,359510.2373076923
600000,539275.1019230769,102943.83961538461,730.6150769230763,60724.89807692308,539275.1019230769
800000,719036.07,137174.58846153846,968.3074230769221,80963.93,719036.07
1000000,898798.6542307693,171405.35653846155,1205.9997307692297,101201.34576923077,898798.6542307693
