Timestep,Value_at_Risk
2,0.06
3,0.06
100,2.0901
200,4.1204
2000,37.7261
10000,127.9023999999999
20000,196.24670000000003
40000,273.65010000000007
60000,334.5803
80000,358.6157000000003
200000,474.0935
400000,559.4960000000002
600000,566.6518000000003
800000,580.4524000000004
1000000,621.9289000000001
