Timestep,Value_at_Risk
2,0.06
3,0.06
100,2.891
200,5.4910000000000085
2000,19.647000000000062
10000,55.309999999999995
20000,105.346
40000,205.346
60000,305.346
80000,405.346
100000,505.346
200000,1005.346
400000,2005.355
600000,3005.355
800000,4005.355
1000000,5005.3550000000005
