Timestep,Value_at_Risk
2,0.1
3,0.2
100,4.6
200,8.4
2000,29.004999999999995
10000,42.01999999999998
20000,58.8125
40000,104.29799999999997
60000,145.487
80000,175.927
100000,205.16149999999985
