Timestep,Value_at_Risk
2,0.01
3,0.01
100,0.3610000000000001
200,0.75
2000,6.502
10000,27.99
20000,56.689
40000,102.65200000000004
60000,158.51100000000005
80000,191.04200000000006
100000,220.85399999999998
