Timestep,Value_at_Risk
2,0.2
3,0.2
100,6.7
200,13.110000000000001
2000,96.55000000000001
10000,175.62
20000,194.48000000000002
40000,213.23
60000,219.47
80000,224.55
100000,225.97
200000,230.65
400000,235.14
600000,236.31
800000,236.55
1000000,236.82000000000002
