Timestep,Value_at_Risk
2,0.1
3,0.15
100,3.16
200,6.1465
2000,32.198499999999996
10000,142.587
20000,249.55899999999994
40000,449.4915
60000,653.3584999999999
80000,849.6719999999999
100000,1052.0445
200000,2053.1110000000003
400000,4051.8945
600000,6053.63
800000,8052.8185
1000000,10057.7065
