Timestep,Value_at_Risk
2,0.1
3,0.1
100,8.57
200,18.08
2000,189.07
10000,949.08
20000,1899.08
40000,3799.07
60000,5699.08
80000,7599.08
100000,9499.07
200000,18999.07
400000,37999.08
600000,56999.08
800000,75999.08
1000000,94999.08
