Timestep,Value_at_Risk
2,0.01
3,0.02
100,0.5
200,1.0
2000,9.96
10000,49.75
20000,99.4705
40000,198.95049999999998
60000,298.40299999999996
80000,397.9105
100000,497.3105
200000,994.0135
400000,1988.6405000000002
600000,2982.469
800000,3974.728
1000000,4969.8535
