Timestep,Value_at_Risk
2,0.05
3,0.06
100,2.03
200,4.01
2000,40.01
10000,200.03
20000,400.01
40000,800.03
60000,1200.0
80000,1600.01
100000,2000.03
200000,4000.01
400000,6000.0
600000,6000.0
800000,6000.0
1000000,6000.0
