Timestep,Value_at_Risk
2,0.02
3,0.02
100,0.68
200,1.37
2000,14.0735
10000,66.3345
20000,122.78299999999999
40000,206.1225
60000,277.70500000000004
80000,326.88349999999997
100000,364.688
200000,498.74449999999996
400000,609.48
600000,690.8545
800000,708.064
1000000,728.3374999999999
