Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.82,1.0,0.010000000000000007,0.18,1.82
3,2.68,2.0,0.010000000000000007,0.32,2.68
100,89.28,66.0,0.3299999999999991,10.72,89.28
200,179.3,133.0,0.6700000000000013,20.7,179.3
2000,1791.55,1364.93,6.824299999999999,208.45,1791.55
10000,8966.36,6682.97,33.415,1033.64,8966.36
20000,17934.01,13283.59,66.417,2065.99,17934.01
40000,35867.45,26484.96,132.42389999999995,4132.55,35867.45
60000,53802.75,39684.97,198.42399999999998,6197.25,53802.75
80000,71738.38,52884.97,264.4239999999999,8261.62,71738.38
100000,89674.09,66084.97,330.4239999999999,10325.91,89674.09
200000,179347.45,132084.97,660.424,20652.55,179347.45
400000,358671.12,264085.02,1320.4253000000003,41328.88,358671.12
600000,538026.21,396085.02,1980.4252999999997,61973.79,538026.21
800000,717348.35,528085.02,2640.425299999999,82651.65,717348.35
1000000,896660.7,660085.02,3300.4253,103339.3,896660.7
