Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.54,1.96,0.09099999999999986,0.46,1.54
3,2.36,2.91,0.13400000000000017,0.64,2.36
100,87.96,67.57,1.911999999999999,12.04,87.96
200,177.31,126.17,3.0079999999999996,22.69,177.31
2000,1789.9,1078.1,9.030000000000003,210.1,1789.9
10000,8975.45,5341.61,22.596000000000004,1024.55,8975.45
20000,17957.31,10788.31,39.34350000000001,2042.69,17957.31
40000,35925.4,21236.28,72.69700000000003,4074.6,35925.4
60000,53888.67,32068.47,106.1345,6111.33,53888.67
80000,71849.05,42917.09,139.4825,8150.95,71849.05
100000,89819.09,53520.93,172.929,10180.91,89819.09
200000,179645.14,109113.79,340.23199999999997,20354.86,179645.14
400000,359322.75,220705.27,673.3175000000001,40677.25,359322.75
600000,538985.77,329897.41,1006.9414999999999,61014.23,538985.77
800000,718667.4,440833.94,1340.6015000000002,81332.6,718667.4
1000000,898316.7,554946.96,1673.7564999999993,101683.3,898316.7
