Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.8,0.88,0.0,0.2,1.8
3,2.68,1.37,0.0,0.32,2.68
100,88.67,67.35,0.0,11.33,88.67
200,177.25,134.75,0.0,22.75,177.25
2000,1779.92,1333.07,0.0,220.08,1779.92
10000,8900.41,6633.49,0.0,1099.59,8900.41
20000,17800.75,13230.44,0.0,2199.25,17800.75
40000,35599.5,26540.89,0.0,4400.5,35599.5
60000,53393.77,39843.61,0.0,6606.23,53393.77
80000,71192.56,52947.58,0.0,8807.44,71192.56
200000,178009.71,136128.4,0.0,21990.29,178009.71
400000,356007.1,270983.59,0.0,43992.9,356007.1
600000,534012.74,403712.4,0.0,65987.26,534012.74
800000,711987.27,535469.26,0.0,88012.73,711987.27
1000000,889993.3,666142.32,0.0,110006.7,889993.3
